target_city,priority,assigned_pilot,assigned_aircraft,distance,weather_conditions,pilot_skill,aircraft_speed,fuel_capacity,mission_fit_score
Kuwait City,3,Alice Johnson,Drone,1570.128797124295,Clear,7,500,1000,0
Doha,4,Alice Johnson,Drone,2054.894201862133,Clear,7,500,1000,0
Damascus,5,Robert White,Drone,463.64045875784797,Clear,10,500,1000,0
Beirut,4,Robert White,Drone,415.72849416593107,Clear,10,500,1000,0
Amman,3,Robert White,Drone,390.1637287412529,Clear,10,500,1000,0
Cairo,3,Robert White,Drone,201.95901286025176,Clear,10,500,1000,0
Baghdad,5,Robert White,Drone,1191.2819032577597,Clear,10,500,1000,0
Tehran,4,Robert White,Drone,1859.2355657612743,Clouds,10,500,1000,0
Riyadh,3,Robert White,Drone,1662.0823516140424,Clear,10,500,1000,0
Tripoli,2,Robert White,Drone,1751.0069634215297,Clouds,10,500,1000,0
Ankara,4,Robert White,Drone,908.4406467300851,Clear,10,500,1000,0
Khartoum,3,Robert White,Drone,1806.5038966206735,Clouds,10,500,1000,0
Gaza,5,Robert White,Drone,253.93592162554287,Clear,10,500,1000,0
Sanaa,2,Robert White,Drone,2218.9775030061282,Rain,10,500,1000,0
Manama,2,Robert White,Drone,1925.9274117692805,Clear,10,500,1000,0
Kuwait City,3,Robert White,Drone,1570.128797124295,Clear,10,500,1000,0
Doha,4,Robert White,Drone,2054.894201862133,Clear,10,500,1000,0
Damascus,5,Tom Cruise,Drone,463.64045875784797,Clear,9,500,1000,0
Beirut,4,Tom Cruise,Drone,415.72849416593107,Clear,9,500,1000,0
Amman,3,Tom Cruise,Drone,390.1637287412529,Clear,9,500,1000,0
Cairo,3,Tom Cruise,Drone,201.95901286025176,Clear,9,500,1000,0
Baghdad,5,Tom Cruise,Drone,1191.2819032577597,Clear,9,500,1000,0
Tehran,4,Tom Cruise,Drone,1859.2355657612743,Clouds,9,500,1000,0
Riyadh,3,Tom Cruise,Drone,1662.0823516140424,Clear,9,500,1000,0
Tripoli,2,Tom Cruise,Drone,1751.0069634215297,Clouds,9,500,1000,0
Ankara,4,Tom Cruise,Drone,908.4406467300851,Clear,9,500,1000,0
Khartoum,3,Tom Cruise,Drone,1806.5038966206735,Clouds,9,500,1000,0
Gaza,5,Tom Cruise,Drone,253.93592162554287,Clear,9,500,1000,0
Sanaa,2,Tom Cruise,Drone,2218.9775030061282,Rain,9,500,1000,0
Manama,2,Tom Cruise,Drone,1925.9274117692805,Clear,9,500,1000,0
Kuwait City,3,Tom Cruise,Drone,1570.128797124295,Clear,9,500,1000,0
Doha,4,Tom Cruise,Drone,2054.894201862133,Clear,9,500,1000,0
Damascus,5,Chris Pratt,Drone,463.64045875784797,Clear,6,500,1000,0
Beirut,4,Chris Pratt,Drone,415.72849416593107,Clear,6,500,1000,0
Amman,3,Chris Pratt,Drone,390.1637287412529,Clear,6,500,1000,0
Cairo,3,Chris Pratt,Drone,201.95901286025176,Clear,6,500,1000,0
Baghdad,5,Chris Pratt,Drone,1191.2819032577597,Clear,6,500,1000,0
Tehran,4,Chris Pratt,Drone,1859.2355657612743,Clouds,6,500,1000,0
Riyadh,3,Chris Pratt,Drone,1662.0823516140424,Clear,6,500,1000,0
Tripoli,2,Chris Pratt,Drone,1751.0069634215297,Clouds,6,500,1000,0
Ankara,4,Chris Pratt,Drone,908.4406467300851,Clear,6,500,1000,0
Khartoum,3,Chris Pratt,Drone,1806.5038966206735,Clouds,6,500,1000,0
Gaza,5,Chris Pratt,Drone,253.93592162554287,Clear,6,500,1000,0
Sanaa,2,Chris Pratt,Drone,2218.9775030061282,Rain,6,500,1000,0
Manama,2,Chris Pratt,Drone,1925.9274117692805,Clear,6,500,1000,0
Kuwait City,3,Chris Pratt,Drone,1570.128797124295,Clear,6,500,1000,0
Doha,4,Chris Pratt,Drone,2054.894201862133,Clear,6,500,1000,0
Damascus,5,David Miller,Drone,463.64045875784797,Clear,5,500,1000,0
Beirut,4,David Miller,Drone,415.72849416593107,Clear,5,500,1000,0
Amman,3,David Miller,Drone,390.1637287412529,Clear,5,500,1000,0
Cairo,3,David Miller,Drone,201.95901286025176,Clear,5,500,1000,0
Baghdad,5,David Miller,Drone,1191.2819032577597,Clear,5,500,1000,0
Tehran,4,David Miller,Drone,1859.2355657612743,Clouds,5,500,1000,0
Riyadh,3,David Miller,Drone,1662.0823516140424,Clear,5,500,1000,0
Tripoli,2,David Miller,Drone,1751.0069634215297,Clouds,5,500,1000,0
Ankara,4,David Miller,Drone,908.4406467300851,Clear,5,500,1000,0
Khartoum,3,David Miller,Drone,1806.5038966206735,Clouds,5,500,1000,0
Gaza,5,David Miller,Drone,253.93592162554287,Clear,5,500,1000,0
Sanaa,2,David Miller,Drone,2218.9775030061282,Rain,5,500,1000,0
Manama,2,David Miller,Drone,1925.9274117692805,Clear,5,500,1000,0
Kuwait City,3,David Miller,Drone,1570.128797124295,Clear,5,500,1000,0
Doha,4,David Miller,Drone,2054.894201862133,Clear,5,500,1000,0
Damascus,5,Sarah Connor,Drone,463.64045875784797,Clear,8,500,1000,0
Beirut,4,Sarah Connor,Drone,415.72849416593107,Clear,8,500,1000,0
Amman,3,Sarah Connor,Drone,390.1637287412529,Clear,8,500,1000,0
Cairo,3,Sarah Connor,Drone,201.95901286025176,Clear,8,500,1000,0
Baghdad,5,Sarah Connor,Drone,1191.2819032577597,Clear,8,500,1000,0
Tehran,4,Sarah Connor,Drone,1859.2355657612743,Clouds,8,500,1000,0
Riyadh,3,Sarah Connor,Drone,1662.0823516140424,Clear,8,500,1000,0
Tripoli,2,Sarah Connor,Drone,1751.0069634215297,Clouds,8,500,1000,0
Ankara,4,Sarah Connor,Drone,908.4406467300851,Clear,8,500,1000,0
Khartoum,3,Sarah Connor,Drone,1806.5038966206735,Clouds,8,500,1000,0
Gaza,5,Sarah Connor,Drone,253.93592162554287,Clear,8,500,1000,0
Sanaa,2,Sarah Connor,Drone,2218.9775030061282,Rain,8,500,1000,0
Manama,2,Sarah Connor,Drone,1925.9274117692805,Clear,8,500,1000,0
Kuwait City,3,Sarah Connor,Drone,1570.128797124295,Clear,8,500,1000,0
Doha,4,Sarah Connor,Drone,2054.894201862133,Clear,8,500,1000,0
Damascus,5,John Doe,Helicopter,463.64045875784797,Clear,8,400,800,0
Beirut,4,John Doe,Helicopter,415.72849416593107,Clear,8,400,800,0
Amman,3,John Doe,Helicopter,390.1637287412529,Clear,8,400,800,0
Cairo,3,John Doe,Helicopter,201.95901286025176,Clear,8,400,800,0
Baghdad,5,John Doe,Helicopter,1191.2819032577597,Clear,8,400,800,0
Tehran,4,John Doe,Helicopter,1859.2355657612743,Clouds,8,400,800,0
Riyadh,3,John Doe,Helicopter,1662.0823516140424,Clear,8,400,800,0
Tripoli,2,John Doe,Helicopter,1751.0069634215297,Clouds,8,400,800,0
Ankara,4,John Doe,Helicopter,908.4406467300851,Clear,8,400,800,0
Khartoum,3,John Doe,Helicopter,1806.5038966206735,Clouds,8,400,800,0
Gaza,5,John Doe,Helicopter,253.93592162554287,Clear,8,400,800,0
Sanaa,2,John Doe,Helicopter,2218.9775030061282,Rain,8,400,800,0
Manama,2,John Doe,Helicopter,1925.9274117692805,Clear,8,400,800,0
Kuwait City,3,John Doe,Helicopter,1570.128797124295,Clear,8,400,800,0
Doha,4,John Doe,Helicopter,2054.894201862133,Clear,8,400,800,0
Damascus,5,Jane Smith,Helicopter,463.64045875784797,Clear,6,400,800,0
Beirut,4,Jane Smith,Helicopter,415.72849416593107,Clear,6,400,800,0
Amman,3,Jane Smith,Helicopter,390.1637287412529,Clear,6,400,800,0
Cairo,3,Jane Smith,Helicopter,201.95901286025176,Clear,6,400,800,0
Baghdad,5,Jane Smith,Helicopter,1191.2819032577597,Clear,6,400,800,0
Tehran,4,Jane Smith,Helicopter,1859.2355657612743,Clouds,6,400,800,0
Riyadh,3,Jane Smith,Helicopter,1662.0823516140424,Clear,6,400,800,0
Tripoli,2,Jane Smith,Helicopter,1751.0069634215297,Clouds,6,400,800,0
Ankara,4,Jane Smith,Helicopter,908.4406467300851,Clear,6,400,800,0
Khartoum,3,Jane Smith,Helicopter,1806.5038966206735,Clouds,6,400,800,0
Gaza,5,Jane Smith,Helicopter,253.93592162554287,Clear,6,400,800,0
Sanaa,2,Jane Smith,Helicopter,2218.9775030061282,Rain,6,400,800,0
Manama,2,Jane Smith,Helicopter,1925.9274117692805,Clear,6,400,800,0
Kuwait City,3,Jane Smith,Helicopter,1570.128797124295,Clear,6,400,800,0
Doha,4,Jane Smith,Helicopter,2054.894201862133,Clear,6,400,800,0
Damascus,5,Michael Clark,Helicopter,463.64045875784797,Clear,9,400,800,0
Beirut,4,Michael Clark,Helicopter,415.72849416593107,Clear,9,400,800,0
Amman,3,Michael Clark,Helicopter,390.1637287412529,Clear,9,400,800,0
Cairo,3,Michael Clark,Helicopter,201.95901286025176,Clear,9,400,800,0
Baghdad,5,Michael Clark,Helicopter,1191.2819032577597,Clear,9,400,800,0
Tehran,4,Michael Clark,Helicopter,1859.2355657612743,Clouds,9,400,800,0
Riyadh,3,Michael Clark,Helicopter,1662.0823516140424,Clear,9,400,800,0
Tripoli,2,Michael Clark,Helicopter,1751.0069634215297,Clouds,9,400,800,0
Ankara,4,Michael Clark,Helicopter,908.4406467300851,Clear,9,400,800,0
Khartoum,3,Michael Clark,Helicopter,1806.5038966206735,Clouds,9,400,800,0
Gaza,5,Michael Clark,Helicopter,253.93592162554287,Clear,9,400,800,0
Sanaa,2,Michael Clark,Helicopter,2218.9775030061282,Rain,9,400,800,0
Manama,2,Michael Clark,Helicopter,1925.9274117692805,Clear,9,400,800,0
Kuwait City,3,Michael Clark,Helicopter,1570.128797124295,Clear,9,400,800,0
Doha,4,Michael Clark,Helicopter,2054.894201862133,Clear,9,400,800,0
Damascus,5,Alice Johnson,Helicopter,463.64045875784797,Clear,7,400,800,0
Beirut,4,Alice Johnson,Helicopter,415.72849416593107,Clear,7,400,800,0
Amman,3,Alice Johnson,Helicopter,390.1637287412529,Clear,7,400,800,0
Cairo,3,Alice Johnson,Helicopter,201.95901286025176,Clear,7,400,800,0
Baghdad,5,Alice Johnson,Helicopter,1191.2819032577597,Clear,7,400,800,0
Tehran,4,Alice Johnson,Helicopter,1859.2355657612743,Clouds,7,400,800,0
Riyadh,3,Alice Johnson,Helicopter,1662.0823516140424,Clear,7,400,800,0
Tripoli,2,Alice Johnson,Helicopter,1751.0069634215297,Clouds,7,400,800,0
Ankara,4,Alice Johnson,Helicopter,908.4406467300851,Clear,7,400,800,0
Khartoum,3,Alice Johnson,Helicopter,1806.5038966206735,Clouds,7,400,800,0
Gaza,5,Alice Johnson,Helicopter,253.93592162554287,Clear,7,400,800,0
Sanaa,2,Alice Johnson,Helicopter,2218.9775030061282,Rain,7,400,800,0
Manama,2,Alice Johnson,Helicopter,1925.9274117692805,Clear,7,400,800,0
Kuwait City,3,Alice Johnson,Helicopter,1570.128797124295,Clear,7,400,800,0
Doha,4,Alice Johnson,Helicopter,2054.894201862133,Clear,7,400,800,0
Damascus,5,Robert White,Helicopter,463.64045875784797,Clear,10,400,800,0
Beirut,4,Robert White,Helicopter,415.72849416593107,Clear,10,400,800,0
Amman,3,Robert White,Helicopter,390.1637287412529,Clear,10,400,800,0
Cairo,3,Robert White,Helicopter,201.95901286025176,Clear,10,400,800,0
Baghdad,5,Robert White,Helicopter,1191.2819032577597,Clear,10,400,800,0
Tehran,4,Robert White,Helicopter,1859.2355657612743,Clouds,10,400,800,0
Riyadh,3,Robert White,Helicopter,1662.0823516140424,Clear,10,400,800,0
Tripoli,2,Robert White,Helicopter,1751.0069634215297,Clouds,10,400,800,0
Ankara,4,Robert White,Helicopter,908.4406467300851,Clear,10,400,800,0
Khartoum,3,Robert White,Helicopter,1806.5038966206735,Clouds,10,400,800,0
Gaza,5,Robert White,Helicopter,253.93592162554287,Clear,10,400,800,0
Sanaa,2,Robert White,Helicopter,2218.9775030061282,Rain,10,400,800,0
Manama,2,Robert White,Helicopter,1925.9274117692805,Clear,10,400,800,0
Kuwait City,3,Robert White,Helicopter,1570.128797124295,Clear,10,400,800,0
Doha,4,Robert White,Helicopter,2054.894201862133,Clear,10,400,800,0
Damascus,5,Tom Cruise,Helicopter,463.64045875784797,Clear,9,400,800,0
Beirut,4,Tom Cruise,Helicopter,415.72849416593107,Clear,9,400,800,0
Amman,3,Tom Cruise,Helicopter,390.1637287412529,Clear,9,400,800,0
Cairo,3,Tom Cruise,Helicopter,201.95901286025176,Clear,9,400,800,0
Baghdad,5,Tom Cruise,Helicopter,1191.2819032577597,Clear,9,400,800,0
Tehran,4,Tom Cruise,Helicopter,1859.2355657612743,Clouds,9,400,800,0
Riyadh,3,Tom Cruise,Helicopter,1662.0823516140424,Clear,9,400,800,0
Tripoli,2,Tom Cruise,Helicopter,1751.0069634215297,Clouds,9,400,800,0
Ankara,4,Tom Cruise,Helicopter,908.4406467300851,Clear,9,400,800,0
Khartoum,3,Tom Cruise,Helicopter,1806.5038966206735,Clouds,9,400,800,0
Gaza,5,Tom Cruise,Helicopter,253.93592162554287,Clear,9,400,800,0
Sanaa,2,Tom Cruise,Helicopter,2218.9775030061282,Rain,9,400,800,0
Manama,2,Tom Cruise,Helicopter,1925.9274117692805,Clear,9,400,800,0
Kuwait City,3,Tom Cruise,Helicopter,1570.128797124295,Clear,9,400,800,0
Doha,4,Tom Cruise,Helicopter,2054.894201862133,Clear,9,400,800,0
Damascus,5,Chris Pratt,Helicopter,463.64045875784797,Clear,6,400,800,0
Beirut,4,Chris Pratt,Helicopter,415.72849416593107,Clear,6,400,800,0
Amman,3,Chris Pratt,Helicopter,390.1637287412529,Clear,6,400,800,0
Cairo,3,Chris Pratt,Helicopter,201.95901286025176,Clear,6,400,800,0
Baghdad,5,Chris Pratt,Helicopter,1191.2819032577597,Clear,6,400,800,0
Tehran,4,Chris Pratt,Helicopter,1859.2355657612743,Clouds,6,400,800,0
Riyadh,3,Chris Pratt,Helicopter,1662.0823516140424,Clear,6,400,800,0
Tripoli,2,Chris Pratt,Helicopter,1751.0069634215297,Clouds,6,400,800,0
Ankara,4,Chris Pratt,Helicopter,908.4406467300851,Clear,6,400,800,0
Khartoum,3,Chris Pratt,Helicopter,1806.5038966206735,Clouds,6,400,800,0
Gaza,5,Chris Pratt,Helicopter,253.93592162554287,Clear,6,400,800,0
Sanaa,2,Chris Pratt,Helicopter,2218.9775030061282,Rain,6,400,800,0
Manama,2,Chris Pratt,Helicopter,1925.9274117692805,Clear,6,400,800,0
Kuwait City,3,Chris Pratt,Helicopter,1570.128797124295,Clear,6,400,800,0
Doha,4,Chris Pratt,Helicopter,2054.894201862133,Clear,6,400,800,0
Damascus,5,David Miller,Helicopter,463.64045875784797,Clear,5,400,800,0
Beirut,4,David Miller,Helicopter,415.72849416593107,Clear,5,400,800,0
Amman,3,David Miller,Helicopter,390.1637287412529,Clear,5,400,800,0
Cairo,3,David Miller,Helicopter,201.95901286025176,Clear,5,400,800,0
Baghdad,5,David Miller,Helicopter,1191.2819032577597,Clear,5,400,800,0
Tehran,4,David Miller,Helicopter,1859.2355657612743,Clouds,5,400,800,0
Riyadh,3,David Miller,Helicopter,1662.0823516140424,Clear,5,400,800,0
Tripoli,2,David Miller,Helicopter,1751.0069634215297,Clouds,5,400,800,0
Ankara,4,David Miller,Helicopter,908.4406467300851,Clear,5,400,800,0
Khartoum,3,David Miller,Helicopter,1806.5038966206735,Clouds,5,400,800,0
Gaza,5,David Miller,Helicopter,253.93592162554287,Clear,5,400,800,0
Sanaa,2,David Miller,Helicopter,2218.9775030061282,Rain,5,400,800,0
Manama,2,David Miller,Helicopter,1925.9274117692805,Clear,5,400,800,0
Kuwait City,3,David Miller,Helicopter,1570.128797124295,Clear,5,400,800,0
Doha,4,David Miller,Helicopter,2054.894201862133,Clear,5,400,800,0
Damascus,5,Sarah Connor,Helicopter,463.64045875784797,Clear,8,400,800,0
Beirut,4,Sarah Connor,Helicopter,415.72849416593107,Clear,8,400,800,0
Amman,3,Sarah Connor,Helicopter,390.1637287412529,Clear,8,400,800,0
Cairo,3,Sarah Connor,Helicopter,201.95901286025176,Clear,8,400,800,0
Baghdad,5,Sarah Connor,Helicopter,1191.2819032577597,Clear,8,400,800,0
Tehran,4,Sarah Connor,Helicopter,1859.2355657612743,Clouds,8,400,800,0
Riyadh,3,Sarah Connor,Helicopter,1662.0823516140424,Clear,8,400,800,0
Tripoli,2,Sarah Connor,Helicopter,1751.0069634215297,Clouds,8,400,800,0
Ankara,4,Sarah Connor,Helicopter,908.4406467300851,Clear,8,400,800,0
Khartoum,3,Sarah Connor,Helicopter,1806.5038966206735,Clouds,8,400,800,0
Gaza,5,Sarah Connor,Helicopter,253.93592162554287,Clear,8,400,800,0
Sanaa,2,Sarah Connor,Helicopter,2218.9775030061282,Rain,8,400,800,0
Manama,2,Sarah Connor,Helicopter,1925.9274117692805,Clear,8,400,800,0
Kuwait City,3,Sarah Connor,Helicopter,1570.128797124295,Clear,8,400,800,0
Doha,4,Sarah Connor,Helicopter,2054.894201862133,Clear,8,400,800,0
Damascus,5,John Doe,Stealth Fighter,463.64045875784797,Clear,8,1800,3500,0
Beirut,4,John Doe,Stealth Fighter,415.72849416593107,Clear,8,1800,3500,0
Amman,3,John Doe,Stealth Fighter,390.1637287412529,Clear,8,1800,3500,0
Cairo,3,John Doe,Stealth Fighter,201.95901286025176,Clear,8,1800,3500,0
Baghdad,5,John Doe,Stealth Fighter,1191.2819032577597,Clear,8,1800,3500,0
Tehran,4,John Doe,Stealth Fighter,1859.2355657612743,Clouds,8,1800,3500,0
Riyadh,3,John Doe,Stealth Fighter,1662.0823516140424,Clear,8,1800,3500,0
Tripoli,2,John Doe,Stealth Fighter,1751.0069634215297,Clouds,8,1800,3500,0
Ankara,4,John Doe,Stealth Fighter,908.4406467300851,Clear,8,1800,3500,0
Khartoum,3,John Doe,Stealth Fighter,1806.5038966206735,Clouds,8,1800,3500,0
Gaza,5,John Doe,Stealth Fighter,253.93592162554287,Clear,8,1800,3500,0
Sanaa,2,John Doe,Stealth Fighter,2218.9775030061282,Rain,8,1800,3500,0
Manama,2,John Doe,Stealth Fighter,1925.9274117692805,Clear,8,1800,3500,0
Kuwait City,3,John Doe,Stealth Fighter,1570.128797124295,Clear,8,1800,3500,0
Doha,4,John Doe,Stealth Fighter,2054.894201862133,Clear,8,1800,3500,0
Damascus,5,Jane Smith,Stealth Fighter,463.64045875784797,Clear,6,1800,3500,0
Beirut,4,Jane Smith,Stealth Fighter,415.72849416593107,Clear,6,1800,3500,0
Amman,3,Jane Smith,Stealth Fighter,390.1637287412529,Clear,6,1800,3500,0
Cairo,3,Jane Smith,Stealth Fighter,201.95901286025176,Clear,6,1800,3500,0
Baghdad,5,Jane Smith,Stealth Fighter,1191.2819032577597,Clear,6,1800,3500,0
Tehran,4,Jane Smith,Stealth Fighter,1859.2355657612743,Clouds,6,1800,3500,0
Riyadh,3,Jane Smith,Stealth Fighter,1662.0823516140424,Clear,6,1800,3500,0
Tripoli,2,Jane Smith,Stealth Fighter,1751.0069634215297,Clouds,6,1800,3500,0
Ankara,4,Jane Smith,Stealth Fighter,908.4406467300851,Clear,6,1800,3500,0
Khartoum,3,Jane Smith,Stealth Fighter,1806.5038966206735,Clouds,6,1800,3500,0
Gaza,5,Jane Smith,Stealth Fighter,253.93592162554287,Clear,6,1800,3500,0
Sanaa,2,Jane Smith,Stealth Fighter,2218.9775030061282,Rain,6,1800,3500,0
Manama,2,Jane Smith,Stealth Fighter,1925.9274117692805,Clear,6,1800,3500,0
Kuwait City,3,Jane Smith,Stealth Fighter,1570.128797124295,Clear,6,1800,3500,0
Doha,4,Jane Smith,Stealth Fighter,2054.894201862133,Clear,6,1800,3500,0
Damascus,5,Michael Clark,Stealth Fighter,463.64045875784797,Clear,9,1800,3500,0
Beirut,4,Michael Clark,Stealth Fighter,415.72849416593107,Clear,9,1800,3500,0
Amman,3,Michael Clark,Stealth Fighter,390.1637287412529,Clear,9,1800,3500,0
Cairo,3,Michael Clark,Stealth Fighter,201.95901286025176,Clear,9,1800,3500,0
Baghdad,5,Michael Clark,Stealth Fighter,1191.2819032577597,Clear,9,1800,3500,0
Tehran,4,Michael Clark,Stealth Fighter,1859.2355657612743,Clouds,9,1800,3500,0
Riyadh,3,Michael Clark,Stealth Fighter,1662.0823516140424,Clear,9,1800,3500,0
Tripoli,2,Michael Clark,Stealth Fighter,1751.0069634215297,Clouds,9,1800,3500,0
Ankara,4,Michael Clark,Stealth Fighter,908.4406467300851,Clear,9,1800,3500,0
Khartoum,3,Michael Clark,Stealth Fighter,1806.5038966206735,Clouds,9,1800,3500,0
Gaza,5,Michael Clark,Stealth Fighter,253.93592162554287,Clear,9,1800,3500,0
Sanaa,2,Michael Clark,Stealth Fighter,2218.9775030061282,Rain,9,1800,3500,0
Manama,2,Michael Clark,Stealth Fighter,1925.9274117692805,Clear,9,1800,3500,0
Kuwait City,3,Michael Clark,Stealth Fighter,1570.128797124295,Clear,9,1800,3500,0
Doha,4,Michael Clark,Stealth Fighter,2054.894201862133,Clear,9,1800,3500,0
Damascus,5,Alice Johnson,Stealth Fighter,463.64045875784797,Clear,7,1800,3500,0
Beirut,4,Alice Johnson,Stealth Fighter,415.72849416593107,Clear,7,1800,3500,0
Amman,3,Alice Johnson,Stealth Fighter,390.1637287412529,Clear,7,1800,3500,0
Cairo,3,Alice Johnson,Stealth Fighter,201.95901286025176,Clear,7,1800,3500,0
Baghdad,5,Alice Johnson,Stealth Fighter,1191.2819032577597,Clear,7,1800,3500,0
Tehran,4,Alice Johnson,Stealth Fighter,1859.2355657612743,Clouds,7,1800,3500,0
Riyadh,3,Alice Johnson,Stealth Fighter,1662.0823516140424,Clear,7,1800,3500,0
Tripoli,2,Alice Johnson,Stealth Fighter,1751.0069634215297,Clouds,7,1800,3500,0
Ankara,4,Alice Johnson,Stealth Fighter,908.4406467300851,Clear,7,1800,3500,0
Khartoum,3,Alice Johnson,Stealth Fighter,1806.5038966206735,Clouds,7,1800,3500,0
Gaza,5,Alice Johnson,Stealth Fighter,253.93592162554287,Clear,7,1800,3500,0
Sanaa,2,Alice Johnson,Stealth Fighter,2218.9775030061282,Rain,7,1800,3500,0
Manama,2,Alice Johnson,Stealth Fighter,1925.9274117692805,Clear,7,1800,3500,0
Kuwait City,3,Alice Johnson,Stealth Fighter,1570.128797124295,Clear,7,1800,3500,0
Doha,4,Alice Johnson,Stealth Fighter,2054.894201862133,Clear,7,1800,3500,0
Damascus,5,Robert White,Stealth Fighter,463.64045875784797,Clear,10,1800,3500,0
Beirut,4,Robert White,Stealth Fighter,415.72849416593107,Clear,10,1800,3500,0
Amman,3,Robert White,Stealth Fighter,390.1637287412529,Clear,10,1800,3500,0
Cairo,3,Robert White,Stealth Fighter,201.95901286025176,Clear,10,1800,3500,0
Baghdad,5,Robert White,Stealth Fighter,1191.2819032577597,Clear,10,1800,3500,0
Tehran,4,Robert White,Stealth Fighter,1859.2355657612743,Clouds,10,1800,3500,0
Riyadh,3,Robert White,Stealth Fighter,1662.0823516140424,Clear,10,1800,3500,0
Tripoli,2,Robert White,Stealth Fighter,1751.0069634215297,Clouds,10,1800,3500,0
Ankara,4,Robert White,Stealth Fighter,908.4406467300851,Clear,10,1800,3500,0
Khartoum,3,Robert White,Stealth Fighter,1806.5038966206735,Clouds,10,1800,3500,0
Gaza,5,Robert White,Stealth Fighter,253.93592162554287,Clear,10,1800,3500,0
Sanaa,2,Robert White,Stealth Fighter,2218.9775030061282,Rain,10,1800,3500,0
Manama,2,Robert White,Stealth Fighter,1925.9274117692805,Clear,10,1800,3500,0
Kuwait City,3,Robert White,Stealth Fighter,1570.128797124295,Clear,10,1800,3500,0
Doha,4,Robert White,Stealth Fighter,2054.894201862133,Clear,10,1800,3500,0
Damascus,5,Tom Cruise,Stealth Fighter,463.64045875784797,Clear,9,1800,3500,0
Beirut,4,Tom Cruise,Stealth Fighter,415.72849416593107,Clear,9,1800,3500,0
Amman,3,Tom Cruise,Stealth Fighter,390.1637287412529,Clear,9,1800,3500,0
Cairo,3,Tom Cruise,Stealth Fighter,201.95901286025176,Clear,9,1800,3500,0
Baghdad,5,Tom Cruise,Stealth Fighter,1191.2819032577597,Clear,9,1800,3500,0
Tehran,4,Tom Cruise,Stealth Fighter,1859.2355657612743,Clouds,9,1800,3500,0
Riyadh,3,Tom Cruise,Stealth Fighter,1662.0823516140424,Clear,9,1800,3500,0
Tripoli,2,Tom Cruise,Stealth Fighter,1751.0069634215297,Clouds,9,1800,3500,0
Ankara,4,Tom Cruise,Stealth Fighter,908.4406467300851,Clear,9,1800,3500,0
Khartoum,3,Tom Cruise,Stealth Fighter,1806.5038966206735,Clouds,9,1800,3500,0
Gaza,5,Tom Cruise,Stealth Fighter,253.93592162554287,Clear,9,1800,3500,0
Sanaa,2,Tom Cruise,Stealth Fighter,2218.9775030061282,Rain,9,1800,3500,0
Manama,2,Tom Cruise,Stealth Fighter,1925.9274117692805,Clear,9,1800,3500,0
Kuwait City,3,Tom Cruise,Stealth Fighter,1570.128797124295,Clear,9,1800,3500,0
Doha,4,Tom Cruise,Stealth Fighter,2054.894201862133,Clear,9,1800,3500,0
Damascus,5,Chris Pratt,Stealth Fighter,463.64045875784797,Clear,6,1800,3500,0
Beirut,4,Chris Pratt,Stealth Fighter,415.72849416593107,Clear,6,1800,3500,0
Amman,3,Chris Pratt,Stealth Fighter,390.1637287412529,Clear,6,1800,3500,0
Cairo,3,Chris Pratt,Stealth Fighter,201.95901286025176,Clear,6,1800,3500,0
Baghdad,5,Chris Pratt,Stealth Fighter,1191.2819032577597,Clear,6,1800,3500,0
Tehran,4,Chris Pratt,Stealth Fighter,1859.2355657612743,Clouds,6,1800,3500,0
Riyadh,3,Chris Pratt,Stealth Fighter,1662.0823516140424,Clear,6,1800,3500,0
Tripoli,2,Chris Pratt,Stealth Fighter,1751.0069634215297,Clouds,6,1800,3500,0
Ankara,4,Chris Pratt,Stealth Fighter,908.4406467300851,Clear,6,1800,3500,0
Khartoum,3,Chris Pratt,Stealth Fighter,1806.5038966206735,Clouds,6,1800,3500,0
Gaza,5,Chris Pratt,Stealth Fighter,253.93592162554287,Clear,6,1800,3500,0
Sanaa,2,Chris Pratt,Stealth Fighter,2218.9775030061282,Rain,6,1800,3500,0
Manama,2,Chris Pratt,Stealth Fighter,1925.9274117692805,Clear,6,1800,3500,0
Kuwait City,3,Chris Pratt,Stealth Fighter,1570.128797124295,Clear,6,1800,3500,0
Doha,4,Chris Pratt,Stealth Fighter,2054.894201862133,Clear,6,1800,3500,0
Damascus,5,David Miller,Stealth Fighter,463.64045875784797,Clear,5,1800,3500,0
Beirut,4,David Miller,Stealth Fighter,415.72849416593107,Clear,5,1800,3500,0
Amman,3,David Miller,Stealth Fighter,390.1637287412529,Clear,5,1800,3500,0
Cairo,3,David Miller,Stealth Fighter,201.95901286025176,Clear,5,1800,3500,0
Baghdad,5,David Miller,Stealth Fighter,1191.2819032577597,Clear,5,1800,3500,0
Tehran,4,David Miller,Stealth Fighter,1859.2355657612743,Clouds,5,1800,3500,0
Riyadh,3,David Miller,Stealth Fighter,1662.0823516140424,Clear,5,1800,3500,0
Tripoli,2,David Miller,Stealth Fighter,1751.0069634215297,Clouds,5,1800,3500,0
Ankara,4,David Miller,Stealth Fighter,908.4406467300851,Clear,5,1800,3500,0
Khartoum,3,David Miller,Stealth Fighter,1806.5038966206735,Clouds,5,1800,3500,0
Gaza,5,David Miller,Stealth Fighter,253.93592162554287,Clear,5,1800,3500,0
Sanaa,2,David Miller,Stealth Fighter,2218.9775030061282,Rain,5,1800,3500,0
